acquirer_ID,acquired_ID,date,price,currency
38,53372,2011-03-28,,USD
38,54909,2011-04-05,,USD
67,6603,2008-07-18,80000000.0,USD
90,55198,2012-09-18,,USD
93,15577,2014-09-15,,USD
98,32719,2008-12-10,,USD
112,51523,2012-07-10,,USD
156,45745,2010-04-07,,USD
172,44706,2012-01-25,,USD
203,55077,2012-06-22,,USD
210,38269,2014-07-30,,USD
212,49853,2011-07-19,,USD
212,50095,2013-05-23,,USD
212,51066,2014-11-24,97000000.0,USD
212,51767,2014-02-19,,USD
212,16883,2013-01-03,,USD
212,53953,2014-09-05,,USD
212,55934,2011-02-22,30000000.0,USD
212,38419,2014-07-31,120000000.0,USD
212,38419,2014-01-30,120000000.0,USD
212,57366,2013-09-10,,USD
212,58035,2012-07-23,,USD
212,58388,2011-11-21,,USD
241,50679,2011-08-01,,USD
241,54013,2009-12-01,,USD
241,55635,2011-05-10,,USD
251,50354,2010-11-01,,USD
283,42675,2013-12-31,,USD
289,50762,2010-07-21,,USD
312,49848,2012-07-09,2000000.0,USD
312,50264,2014-03-11,,USD
312,55861,2012-11-21,,USD
368,52233,2012-01-18,,USD
368,24620,2011-07-18,,USD
368,56668,2011-10-28,,USD
369,27516,2013-12-13,,USD
388,43205,2013-10-14,,USD
419,50970,2010-05-06,,USD
419,9730,2011-09-15,,USD
419,58408,2011-06-20,,USD
437,49463,2012-08-06,,USD
437,54124,2013-08-27,,USD
449,53619,2012-08-06,,USD
495,53210,2008-05-01,,USD
506,27204,2012-10-01,,USD
520,57667,2008-09-23,,USD
531,54507,2011-05-09,,USD
531,33165,2013-04-22,,USD
531,57403,2012-01-30,3900000000.0,USD
531,44296,2012-06-01,,USD
531,57889,2010-05-05,1000000000.0,USD
535,50988,2014-05-15,2900000000.0,USD
535,14160,2009-09-11,410000000.0,USD
535,52368,2010-03-09,450000000.0,USD
535,53243,2008-12-17,215000000.0,USD
535,19868,2013-07-15,310000000.0,USD
535,30683,2013-07-15,400000000.0,USD
535,56784,2009-09-28,6600000000.0,USD
535,43580,2014-10-29,250000000.0,USD
535,57982,2014-06-23,495000000.0,USD
535,46332,2009-09-03,400000000.0,USD
538,52204,2012-03-05,,USD
546,55393,2008-10-27,,USD
557,56455,2014-10-24,,USD
578,58165,2013-05-08,,USD
582,53749,2010-01-13,,USD
612,972,2012-01-13,160000000.0,USD
615,55595,2013-10-23,,USD
619,51440,2013-08-01,,USD
634,52189,2014-06-09,,USD
634,52892,2014-10-13,,USD
634,53600,2014-06-04,,USD
634,53844,2014-06-30,,USD
636,28426,2007-10-01,,USD
654,55784,2013-11-13,,USD
654,55812,2008-09-30,,USD
672,51191,2010-03-01,,USD
672,51355,2009-07-02,,USD
672,56051,2011-02-22,,USD
676,51228,2011-01-01,,USD
705,54964,2012-11-07,,USD
708,38635,2011-03-02,,USD
711,56863,2011-10-04,,USD
717,52021,2012-06-13,800000.0,GBP
717,57677,2010-11-10,,USD
731,51070,2010-09-20,,USD
744,52714,2007-10-16,710000000.0,USD
779,21492,2012-04-26,,USD
784,52918,2012-06-05,,USD
797,51564,2011-08-16,,USD
797,52954,2011-08-16,,USD
797,54594,2012-08-14,,USD
798,56350,2012-08-07,,USD
804,4280,2014-09-03,,USD
804,52953,2012-08-31,,USD
804,29666,2014-09-18,,USD
815,25475,2011-07-27,,USD
826,52557,2009-09-01,73500000.0,USD
870,53203,2008-07-08,,USD
870,56119,2009-01-23,35000000.0,USD
870,40483,2010-12-30,51000000.0,USD
888,51407,2009-12-15,20000000.0,USD
891,58129,2011-10-11,,USD
896,51265,2004-02-01,,USD
904,55006,2014-02-04,65000000.0,EUR
945,16358,1996-07-30,,USD
951,50184,2014-10-28,18300000.0,USD
965,54731,2012-09-09,,USD
997,52622,2008-03-06,20000000.0,USD
997,53097,2008-08-01,,USD
997,22163,2009-11-24,,USD
997,56057,2008-11-20,,USD
997,38979,2011-11-12,,USD
997,38979,2011-11-08,,USD
1015,37911,2013-11-15,,USD
1015,56703,2014-06-26,,USD
1016,48206,2011-11-01,,USD
1028,19404,2013-09-05,,USD
1034,27682,2010-05-10,,USD
1040,51765,2008-08-12,8240000.0,USD
1052,56531,2011-03-15,,USD
1089,49689,2008-11-03,200000.0,USD
1089,49690,2011-11-01,,USD
1089,51516,2007-12-06,11000000.0,USD
1089,52788,2014-03-10,,USD
1089,53206,2010-06-21,,USD
1089,53207,2010-06-21,,USD
1089,53851,2009-07-22,50000000.0,USD
1089,24654,2008-11-06,,USD
1089,54347,2007-11-01,4500000.0,USD
1089,54533,2009-03-13,11600000.0,USD
1089,56728,2013-04-08,,USD
1089,57627,2014-07-02,,USD
1121,1316,2009-08-27,,USD
1131,1132,2011-03-01,,USD
1139,49655,2011-07-12,,USD
1139,1127,2011-06-01,,USD
1139,51032,2012-05-25,,USD
1139,30031,2011-12-01,5000000.0,USD
1139,32780,2011-01-27,10000000.0,USD
1139,44619,2011-01-27,,USD
1139,58046,2011-09-21,,USD
1139,47760,2012-09-06,,USD
1150,54570,2014-02-05,,USD
1159,5407,2013-06-12,,USD
1159,45299,2014-01-23,,USD
1180,56429,2013-06-21,,USD
1198,49749,2009-04-22,1000000.0,USD
1205,53337,2013-09-04,,USD
1240,55416,2014-02-10,,USD
1286,57104,2011-02-14,,USD
